,type,nom_commune,code_departement,prix,numberOfGuests,rating
438,Room,Paris 12e Arrondissement,75,80,1,4.5
439,Room,Paris 10e Arrondissement,75,67,1,4.5
440,Room,Paris 15e Arrondissement,75,107,3,5.0
441,Room,Paris 15e Arrondissement,75,85,2,5.0
442,Entire Home,Saint-Denis,93,45,1,4.5
443,Room,Nanterre,92,102,2,4.5
444,Room,Paris 10e Arrondissement,75,63,1,4.5
445,Room,Vincennes,94,90,1,4.5
446,Entire Home,Paris 16e Arrondissement,75,181,2,4.5
447,Room,Boulogne-Billancourt,92,89,2,4.5
448,Room,Paris 19e Arrondissement,75,124,2,4.5
449,Room,Saint-Ouen-sur-Seine,93,43,2,5.0
450,Room,Paris 15e Arrondissement,75,105,1,5.0
451,Entire Home,Paris 17e Arrondissement,75,128,1,4.5
452,Room,Asnières-sur-Seine,92,103,1,4.5
453,Room,Paris 15e Arrondissement,75,65,1,4.5
454,Room,Paris 18e Arrondissement,75,135,2,4.5
455,Entire Home,Paris 2e Arrondissement,75,174,2,4.5
456,Room,Paris 9e Arrondissement,75,132,1,4.0
457,Room,Paris 8e Arrondissement,75,132,2,4.5
458,Room,Paris 18e Arrondissement,75,135,2,4.5
459,Entire Home,Paris 10e Arrondissement,75,116,1,4.5
460,Room,Paris 2e Arrondissement,75,169,2,5.0
461,Room,Paris 15e Arrondissement,75,130,2,4.0
462,Room,Paris 15e Arrondissement,75,65,1,5.0
463,Room,Paris 10e Arrondissement,75,134,2,5.0
464,Room,Pantin,93,50,1,5.0
465,Room,Paris 16e Arrondissement,75,95,1,4.5
466,Room,Paris 14e Arrondissement,75,109,1,4.5
467,Room,Paris 17e Arrondissement,75,132,2,5.0
468,Room,Paris 18e Arrondissement,75,135,1,4.5
469,Room,Paris 9e Arrondissement,75,123,1,5.0
470,Room,Paris 9e Arrondissement,75,134,1,5.0
471,Room,Paris 9e Arrondissement,75,130,1,5.0
472,Room,Paris 9e Arrondissement,75,173,1,5.0
473,Room,Paris 9e Arrondissement,75,145,2,4.5
474,Room,Paris 8e Arrondissement,75,175,1,5.0
475,Room,Paris 9e Arrondissement,75,142,1,5.0
476,Room,Paris 8e Arrondissement,75,217,2,5.0
477,Room,Paris 15e Arrondissement,75,162,1,5.0
478,Entire Home,Paris 2e Arrondissement,75,203,2,4.5
479,Room,Paris 11e Arrondissement,75,213,2,4.5
480,Room,Paris 9e Arrondissement,75,137,2,5.0
481,Room,Paris 9e Arrondissement,75,226,2,4.5
482,Room,Paris 15e Arrondissement,75,232,2,5.0
483,Room,Paris 4e Arrondissement,75,226,1,4.5
484,Room,Paris 8e Arrondissement,75,240,2,4.5
485,Room,Paris 1er Arrondissement,75,204,2,5.0
486,Room,Paris 2e Arrondissement,75,199,2,4.0
487,Room,Paris 15e Arrondissement,75,175,2,4.5
488,Room,Paris 16e Arrondissement,75,237,2,5.0
489,Room,Paris 15e Arrondissement,75,162,2,4.5
490,Room,Paris 11e Arrondissement,75,246,2,4.5
491,Room,Paris 8e Arrondissement,75,149,2,4.5
492,Room,Paris 9e Arrondissement,75,184,2,4.5
493,Room,Paris 10e Arrondissement,75,179,1,4.5
494,Room,Paris 15e Arrondissement,75,143,1,4.5
495,Room,Paris 10e Arrondissement,75,190,2,4.5
496,Room,Paris 13e Arrondissement,75,162,2,4.5
497,Room,Paris 17e Arrondissement,75,232,2,4.5
498,Room,Paris 1er Arrondissement,75,247,2,4.5
499,Room,Paris 9e Arrondissement,75,207,2,5.0
500,Entire Home,Paris 3e Arrondissement,75,229,2,4.0
501,Room,Paris 6e Arrondissement,75,162,1,4.5
502,Room,Paris 15e Arrondissement,75,197,2,4.5
