,nom_commune,dummy,cat_commune
696,93Le Blanc-Mesnil,1,1
697,93Le Bourget,1,1
698,93Le Pré-Saint-Gervais,1,1
699,93Le Raincy,1,1
700,93Les Lilas,1,0
701,93Les Pavillons-sous-Bois,1,1
702,93Livry-Gargan,1,1
703,93Montfermeil,1,1
704,93Montreuil,1,1
705,93Neuilly-Plaisance,1,1
706,93Neuilly-sur-Marne,1,1
707,93Noisy-le-Grand,1,1
708,93Noisy-le-Sec,1,1
709,93Pantin,1,1
710,93Pierrefitte-sur-Seine,1,1
711,93Romainville,1,1
712,93Rosny-sous-Bois,1,1
713,93Saint-Denis,1,1
714,93Saint-Ouen-sur-Seine,1,1
715,93Sevran,1,1
716,93Stains,1,1
717,93Tremblay-en-France,1,1
718,93Vaujours,1,1
719,93Villemomble,1,1
720,93Villepinte,1,1
721,93Villetaneuse,1,1
722,93Épinay-sur-Seine,1,1
723,94Ablon-sur-Seine,1,1
724,94Alfortville,1,1
725,94Arcueil,1,1
726,94Boissy-Saint-Léger,1,1
727,94Bonneuil-sur-Marne,1,1
728,94Bry-sur-Marne,1,1
729,94Cachan,1,1
730,94Champigny-sur-Marne,1,1
731,94Charenton-le-Pont,1,0
732,94Chennevières-sur-Marne,1,1
733,94Chevilly-Larue,1,1
734,94Choisy-le-Roi,1,1
735,94Créteil,1,1
736,94Fontenay-sous-Bois,1,1
737,94Fresnes,1,1
738,94Gentilly,1,1
739,94Ivry-sur-Seine,1,1
740,94Joinville-le-Pont,1,1
741,94L'Haÿ-les-Roses,1,1
742,94La Queue-en-Brie,1,1
743,94Le Kremlin-Bicêtre,1,1
744,94Le Perreux-sur-Marne,1,1
745,94Le Plessis-Trévise,1,1
746,94Limeil-Brévannes,1,1
747,94Maisons-Alfort,1,1
748,94Mandres-les-Roses,1,1
749,94Marolles-en-Brie,1,1
750,94Nogent-sur-Marne,1,0
751,94Noiseau,1,1
752,94Orly,1,1
753,94Ormesson-sur-Marne,1,1
754,94Périgny,1,1
755,94Rungis,1,1
756,94Saint-Mandé,1,0
757,94Saint-Maur-des-Fossés,1,1
758,94Saint-Maurice,1,0
759,94Santeny,1,1
760,94Sucy-en-Brie,1,1
761,94Thiais,1,1
762,94Valenton,1,1
